Date,Country,CPI,IP,LongRate,ShortRate,Stocks,Inflation_YoY,Inflation_MoM,IP_Growth_YoY,Term_Spread,Real_Short_Rate,Real_Stock_Return
2010-06-01,SWE,0.0165601298314139,105.6,2.61,0.35,2.78624292555509,-267.8686977576591,-241.7770234992287,9.115216965566106,2.26,268.21869775765913,-2060.808069494817
2010-06-01,USA,91.6385744482463,93.6567542981603,3.2,0.18,-3.31329905552691,1.1153177381444195,-0.04188828777284387,8.864107186934808,3.02,-0.9353177381444195,-87.50610228318189
2010-07-01,BEL,0.0430338891877221,94.2078506542212,3.29,0.4811,0.273690596549342,-2302.5850929940457,-2302.5850929940457,14.359091961225614,2.8089,2303.0661929940457,2153.02078028455
2010-07-01,CAN,92.1253621279958,93.5248869222241,3.1852380952381,0.74,-1.14381896838831,1.9922703115627334,0.5159082810027865,7.488580520345386,2.4452380952381,-1.2522703115627334,9.403511303924297
2010-07-01,COL,-0.0478377344048924,91.468605888613,8.057138973,3.031644,4.73730429890643,20.089246400169365,-2302.5850929940457,1.902805824230844,5.025494973000001,-17.057602400169365,2402.5319754052643
2010-07-01,DEU,93.6563972214494,90.3484582602156,2.615909091,0.4811,-0.169183532802803,1.208473921507161,-0.10005003335834234,11.889352994041099,2.1348090909999997,-0.7273739215071608,-2302.485042960687
2010-07-01,DNK,-0.107181136120031,89.7,2.716,0.4938,0.613479508080334,-140.46831972931886,0.10712373812752772,5.735516740674163,2.2222,140.96211972931886,-139.18439534505714
2010-07-01,ESP,-0.44817035023261,104.388,4.43309090909091,0.4811,7.04541264671542,-64.51855006716924,-2302.5850929940457,-0.5043437785405133,3.95199090909091,64.99965006716924,0.0
2010-07-01,FIN,-0.680204061218357,103.2,2.85,0.4811,-0.906266461690614,5.473411627483418,-2302.5850929940457,3.350066973004421,2.3689,-4.992311627483418,2397.7673847635288
2010-07-01,FRA,94.743947664486,99.4891709235756,2.98803145454545,0.4811,-0.434959585974314,1.6925200448007987,0.1795996468185144,5.103411123617762,2.50693145454545,-1.2114200448007986,143.48579601600557
2010-07-01,GRC,-0.479486688289652,106.839740389416,10.34,0.4811,5.25278703635671,-42.79844264356807,60.21310961324322,-10.377046715371916,9.8589,43.27954264356807,-2362.798202607289
2010-07-01,HUN,0.0999999999999943,81.3048933500627,7.39,4.3898,3.70464847964316,-256.49493574615934,-69.31471805600174,12.195840706686365,3.0001999999999995,260.8847357461593,-2233.270374938044
2010-07-01,ISR,0.45662100456621,96.9555035128806,4.58,1.52,0.200102726533402,-83.51948382159709,28.425153735499105,19.692035621510815,3.06,85.03948382159709,-2331.0102467295446
2010-07-01,JPN,96.3176650263024,102.577232802452,1.075,0.094,-3.11516497098845,-0.7261543901522279,-0.3166229558049995,14.571181118139782,0.981,0.8201543901522279,-44.86925113651189
2010-07-01,KOR,0.201066933206263,93.2609516850724,4.91,2.21,2.48528837159736,-57.033601969728245,-2302.5850929940457,13.425536157113577,2.7,59.243601969728246,2305.5847781113143
2010-07-01,LUX,-0.32776138970828,93.4,2.981,0.4811,-1.55029296875,-99.95770451673378,340.13066294899244,3.59711806205049,2.4999,100.43880451673378,-439.5908099491322
2010-07-01,MEX,0.217128212429774,86.294905657113,6.88,3.43,0.447393851070952,-22.675074205077223,-2302.5850929940457,7.734100214247083,3.4499999999999997,26.105074205077223,2207.787592464088
2010-07-01,NLD,-0.283842794759806,96.1839693384436,2.853,0.4811,-1.01606805293005,-131.44731302843243,-52.1301102409807,7.442786978920714,2.3719,131.92841302843243,-2250.454982753065
2010-07-01,NOR,-0.542888165038003,95.6185385751459,3.33,2.34,-1.36871024428881,-1.8630675863130017,161.052309973528,6.377388268605866,0.9900000000000002,4.203067586313002,-123.89245516346406
2010-07-01,POL,-0.2,81.1932338971752,5.84,3.75,1.58151958546854,-2302.5850929940457,-2302.5850929940457,12.442449956205687,2.09,2306.3350929940457,0.0
2010-07-01,PRT,0.17011323161979,98.80028198,5.49,0.4811,1.84567585637315,-2302.5850929940457,-11.411694566107567,-3.8983682477923582,5.008900000000001,2303.0661929940457,-15.510887308077681
2010-07-01,SWE,-0.307967415060591,107.0,2.7,0.35,1.15009937119211,-40.38693140186074,-2302.5850929940457,10.121543200265746,2.35,40.736931401860744,2214.1005211656106
2010-07-01,USA,91.8098701780885,94.1438462856617,3.01,0.18,0.437220642015455,1.3318695897959818,0.18675086613592198,7.800336122485424,2.8299999999999996,-1.1518695897959819,-2302.7718438601814
2010-08-01,AUT,0.18298261665141,91.5550338938422,2.7731,0.4256,4.01756777899466,-71.1614926105783,-2302.5850929940457,10.857301942791185,2.3475,71.58709261057831,2586.369307052599
2010-08-01,BEL,0.0645230669964554,92.1076756396366,3.03,0.4256,1.49368034789967,-156.5820755924498,40.50348617858837,7.670048876362729,2.6044,157.0076755924498,129.19652651091013
2010-08-01,CAN,92.0463523834606,93.453753397239,2.94952380952381,0.7481,1.5700766547988,1.7316450011460958,-0.08580009106371515,6.463301478294389,2.20142380952381,-0.9835450011460958,-2302.499292902982
2010-08-01,CHL,-0.102735328110957,93.9804513840369,5.975469199,1.81,6.74199960144907,-150.27773003413623,-2302.5850929940457,6.725491538719913,4.165469199,152.08773003413623,2327.4902512851136
2010-08-01,COL,0.11486551163013,92.5434551259312,7.705277758,3.026966,4.4627709399134,85.33047524072367,-2302.5850929940457,3.0473433820977665,4.678311758,-82.30350924072367,2296.6152529412325
2010-08-01,CZE,-0.320855614973262,85.6928589284226,3.56,0.75,1.94885659569676,38.60260510759424,-2302.5850929940457,10.445336857300317,2.81,-37.85260510759424,2378.225786264452
2010-08-01,DEU,93.7501473688182,91.8525946352469,2.35,0.4256,0.966608084358531,1.0050335853501724,0.10005003335834001,12.174831055871676,1.9244,-0.5794335853501724,-2302.685143027404
2010-08-01,DNK,0.429184549356212,87.9,2.446,0.4836,-0.0028228652081796,67.14543559486599,-2302.5850929940457,1.9529627021483877,1.9624000000000001,-66.66183559486599,0.0
2010-08-01,ESP,0.252516596396204,104.288,4.03718181818182,0.4256,2.82442090760355,-32.459458014502204,-2302.5850929940457,-0.5262526770646005,3.6115818181818202,32.885058014502206,2211.17775684415
2010-08-01,FIN,0.50357538523517,106.7,2.62,0.4256,3.35801696134104,59.49119898447325,-2302.5850929940457,7.288314401688065,2.1944,-59.06559898447325,0.0
2010-08-01,FRA,94.723946831118,98.2691810901576,2.67845454545455,0.4256,2.00753018498401,1.3712678330831636,-0.021112635990955912,2.2849903159770353,2.25285454545455,-0.9456678330831636,-2302.563980358055
2010-08-01,GBR,0.4,89.8345153664302,3.233,0.491,2.27997495342537,28.7682072451781,-2302.5850929940457,0.8220833144856413,2.742,-28.2772072451781,2484.7740673087596
2010-08-01,GRC,-0.694135588762144,111.832251622566,10.7,0.4256,4.14913533238142,-5.731848118350916,36.995118199027274,-2.2948932985543404,10.2744,6.157448118350916,-60.58100229123295
2010-08-01,HUN,-0.599999999999994,84.3161856963613,7.07,4.4468,0.916478422859154,69.31471805599453,-2302.5850929940457,16.53239804253826,2.6232000000000006,-64.86791805599454,2162.904579802367
2010-08-01,ISR,0.454545454545468,90.96018735363,4.25,1.76,2.17964736915174,-24.149268998237723,-0.4555816535831024,5.94024030158042,2.49,25.909268998237724,239.26433346140638
2010-08-01,ITA,0.214132762312656,110.490792433964,3.802,0.4256,0.814900973249077,-30.4235167214987,-51.44008867806021,12.311396190907214,3.3764000000000003,30.8491167214987,-7.000465591435585
2010-08-01,JPN,96.2158493127439,102.986314488603,1.023,0.095,-1.42457209681421,-0.8319185459658158,-0.10576415581358685,13.480898524631185,0.9279999999999999,0.9269185459658158,-78.13529837785794
2010-08-01,KOR,0.502238615538086,92.6171782862149,4.68,2.27,1.79421415037664,34.865174865357126,91.54374828627454,11.946473016549328,2.4099999999999997,-32.59517486535712,-124.1259053741934
2010-08-01,LUX,1.07420804559901,98.2,2.645,0.4256,1.04916781916162,-20.16168548990141,-2302.5850929940457,6.413127209915907,2.2194000000000003,20.587285489901408,0.0
2010-08-01,MEX,0.277748179719259,87.689342447155,6.49,3.45,0.235403196078638,14.916778223682229,24.622685507920583,9.15423289150626,3.04,-11.46677822368223,-88.83663883875347
2010-08-01,NLD,0.153273483687317,96.3839360106649,2.558,0.4256,0.248667144107564,-59.58206024245006,-2302.5850929940457,7.538551943703153,2.1323999999999996,60.007660242450065,0.0
2010-08-01,NOR,-0.2183406113537,92.4115619945144,3.12,2.31,1.91217063989964,-1.8733330202562612,-91.08470602930339,1.843370168883906,0.81,4.183333020256262,-2211.500386964742
2010-08-01,POL,-0.4,80.3933005582868,5.62,3.75,3.30236451221678,0.0,69.31471805599453,10.342761432429155,1.87,3.75,4.310540239299641
2010-08-01,PRT,-0.199543597091753,100.3466773,5.31,0.4256,1.6187640705429,-37.325096904246486,-2302.5850929940457,1.4377414841806095,4.884399999999999,37.75069690424649,2289.466834036374
2010-08-01,SWE,0.006643414715155,105.3,2.45,0.6,1.06615989177349,-344.474071447002,-2302.5850929940457,7.0826052568612425,1.85,345.07407144700204,2295.0065888344893
2010-08-01,USA,91.9440377694427,94.2653698499339,2.7,0.19,1.83821906804719,1.1436132834318025,0.14602967272384126,6.805373157873516,2.5100000000000002,-0.9536132834318025,143.4654218046963
2010-09-01,AUT,0.273972602739747,92.5414250545788,2.8028,0.4536,1.89520504528508,108.20373235738016,40.36369540342227,9.629962906821522,2.3491999999999997,-107.75013235738017,-115.49866074622527
2010-09-01,BEL,0.311660397635686,94.2078506542212,3.12,0.4536,3.22956603390944,-2302.5850929940457,157.48913381602208,11.460338273900337,2.6664000000000003,2303.0386929940455,-80.37866713682484
2010-09-01,CAN,92.204371872531,92.873401948568,2.88142857142857,0.9976,3.70996925270253,1.81587350118717,0.17152662867558327,4.804723444191382,1.8838285714285699,-0.81827350118717,85.81838797360453
2010-09-01,CHL,0.39850880575908,92.7867851592799,5.963198779,2.24,6.02794493347893,-105.05779532478773,-2302.5850929940457,5.483577983063027,3.7231987789999996,107.29779532478773,2291.3900517842817
2010-09-01,COL,-0.133856009178705,93.0436324937921,7.889721021,3.044779,7.37728561037399,21.833928881976234,-2302.5850929940457,4.025979793675181,4.844942021,-18.789149881976236,2352.848683733497
2010-09-01,CZE,-0.214592274678112,86.492792267311,3.34,0.75,-2.9655758606035,-42.38738575182341,-40.22513935050664,11.245045834445738,2.59,43.13738575182341,-2262.359953643539
2010-09-01,DEU,93.843897516187,93.1561794936074,2.300454545,0.4536,1.80280989680467,1.2060447692508254,0.09995003330832014,9.240804416178365,1.846854545,-0.7524447692508254,62.23091570713177
2010-09-01,DNK,0.320512820512833,92.5,2.395,0.5178,1.28443992773261,38.168020308481374,-29.196473424371682,14.643279174615051,1.8772,-37.65022030848137,-2273.388619569674
